Date,Open,High,Low,Last,Close,Volume,Total Traded,MA50,MA200,returns,Cumulative Return
2016-03-17,366.9,367.4,358.6,359.5,360.9,6914296,2536855202.3999996,331.911,,0.003754693366708306,0.897984573276935
2016-03-18,362.5,367.8,362.5,366.05,366.05,6594019,2390331887.5,331.914,,0.014269880853422068,0.9107987061458079
2016-03-21,367.25,375.5,365.75,374.85,374.7,9325793,3424897479.25,332.537,,0.023630651550334614,0.9323214730032351
2016-03-22,376.95,381.5,370.4,376.0,377.2,8909026,3358257350.7,333.014,,0.006672004270082743,0.9385419258522025
2016-03-23,378.0,379.45,374.05,376.0,377.0,5766182,2179616796.0,333.35,,-0.0005302226935312015,0.9380442896242852
2016-03-28,375.5,375.5,361.5,364.0,363.3,8062793,3027578771.5,333.51599999999996,,-0.036339522546419034,0.9039562080119439
2016-03-29,364.0,378.95,363.05,371.65,372.45,9364810,3408790840.0,333.673,,0.02518579686209743,0.9267230654391646
2016-03-30,380.5,391.5,376.8,391.1,388.6,10295891,3917586525.5,334.35900000000004,,0.0433615250369177,0.9669071908434941
2016-03-31,387.9,393.6,380.5,388.7,386.6,10738707,4165544445.2999997,335.265,,-0.00514668039114774,0.9619308285643201
2016-04-01,386.4,386.4,377.7,380.15,379.65,5683771,2196209114.4,336.05400000000003,,-0.017977237454733674,0.9446379696441907
2016-04-04,385.95,391.0,382.4,387.4,388.4,6011729,2320226807.5499997,336.73900000000003,,0.023047543790333247,0.9664095546155766
2016-04-05,386.0,386.0,369.0,370.05,370.5,6058241,2338481026.0,337.30400000000003,,-0.04608650875386189,0.9218711122169702
2016-04-06,373.7,382.4,372.05,376.25,376.7,7323269,2736705625.2999997,338.26700000000005,,0.016734143049932593,0.9372978352824094
2016-04-07,375.95,384.8,370.3,375.2,375.2,8724110,3279829154.5,338.981,,-0.0039819485001327815,0.9335655635730289
2016-04-08,375.5,380.05,370.5,371.6,371.45,4860484,1825111742.0,339.75800000000004,,-0.009994669509594933,0.9242348842995777
2016-04-11,373.95,387.8,373.9,386.0,386.65,6827449,2553124553.5499997,340.75,,0.04092071611253201,0.9620552376212995
2016-04-12,387.95,397.4,387.15,395.5,395.8,7702684,2988256257.7999997,341.98199999999997,,0.02366481313849733,0.9848220950485203
2016-04-13,400.0,411.75,398.15,408.65,408.75,12373115,4949246000.0,343.4189999999999,,0.032718544719555265,1.0170440408061714
2016-04-18,407.65,409.9,402.5,407.0,407.35,5571076,2271049131.4,344.796,,-0.0034250764525993738,1.0135605872107496
2016-04-20,407.0,410.35,400.65,403.85,404.1,7589901,3089089707.0,346.287,,-0.007978396955934719,1.005473998507092
2016-04-21,408.7,417.2,406.0,410.5,411.5,9211869,3764890860.2999997,348.111,,0.0183122989359068,1.0238865389400353
2016-04-22,412.1,420.5,408.0,417.1,417.0,5995998,2470950775.8,349.941,,0.013365735115431265,1.0375715352077635
2016-04-25,417.6,417.6,410.0,412.0,412.2,3272996,1366803129.6000001,351.44300000000004,,-0.01151079136690647,1.025628265737746
2016-04-26,408.65,423.65,405.05,418.35,419.05,6998505,2859939068.25,353.35400000000004,,0.016618146530810396,1.0426723065439167
2016-04-27,418.95,425.25,414.65,419.1,418.55,6227941,2609195881.95,355.51199999999994,,-0.0011931750387781381,1.0414282159741233
2016-04-28,418.8,420.95,409.7,410.45,411.35,7546101,3160307098.8,357.908,,-0.01720224584876351,1.0235133117690973
2016-04-29,410.0,413.7,403.05,408.1,408.35,6251095,2562948950.0,360.54799999999994,,-0.0072930594384343905,1.0160487683503365
2016-05-02,407.95,410.45,402.5,408.2,407.7,4178821,1704750026.95,362.735,,-0.0015917717644178264,1.014431450609605
2016-05-03,410.9,422.0,407.8,408.85,409.65,9620804,3953188363.6,364.583,,0.004782928623988214,1.0192834038317997
2016-05-04,405.5,405.5,380.1,383.15,381.8,12069134,4894033837.0,366.19599999999997,,-0.06798486512876833,0.9499875590943029
2016-05-05,384.0,396.05,383.15,389.7,391.15,9601341,3686914944.0,367.816,,0.024489261393399575,0.9732520527494409
2016-05-06,388.6,400.9,384.5,397.6,398.7,9953672,3867996939.2000003,369.51,,0.019302058034002423,0.9920378203533227
2016-05-09,400.35,405.2,395.15,402.65,403.35,8700283,3483158299.05,371.213,,0.011662904439428301,1.0036078626524023
2016-05-10,400.8,400.8,387.15,389.95,388.95,9166453,3673914362.4,372.615,,-0.035701004090740174,0.9677780542423499
2016-05-11,384.8,391.95,376.1,380.4,379.85,11595875,4462092700.0,373.841,,-0.023396323434888733,0.9451356058721085
2016-05-12,379.0,388.6,379.0,387.0,387.05,6506343,2465903997.0,375.45599999999996,,0.018954850598920547,0.9630505100771346
2016-05-13,391.25,394.0,385.5,389.5,389.95,14027896,5488414310.0,377.291,,0.007492572019119015,0.9702662353819368
2016-05-16,393.8,396.7,389.0,390.75,392.7,8248193,3248138403.4,379.10900000000004,,0.007052186177715081,0.977108733515801
2016-05-17,392.6,395.0,386.6,389.5,389.7,9425555,3700472893.0,380.90899999999993,,-0.007639419404125269,0.9696441900970401
2016-05-18,383.5,387.35,381.6,384.75,384.85,8589315,3294002302.5,382.29900000000004,,-0.012445470875032005,0.9575765115700433
2016-05-19,386.25,393.3,381.95,384.65,386.9,10988676,4244376105.0,383.695,,0.0053267506820837696,0.9626772829061965
2016-05-20,386.7,392.7,383.5,384.0,384.45,6537509,2528054730.2999997,384.65,,-0.006332385629361559,0.9565812391142084
2016-05-23,388.55,389.95,380.1,383.3,381.75,8153090,3167883119.5,385.415,,-0.00702301989855636,0.9498631500373237
2016-05-24,383.8,391.75,382.65,389.0,389.1,10568106,4056039082.8,386.27600000000007,,0.019253438113949084,0.968151281413288
2016-05-25,394.0,399.95,394.0,396.55,397.0,8897382,3505568508.0,387.26200000000006,,0.020303263942431204,0.987807912416025
2016-05-26,400.5,402.0,396.75,400.0,399.25,8469732,3392127666.0,388.27700000000004,,0.005667506297229119,0.9934063199800955
2016-05-27,400.0,405.0,396.0,403.1,403.9,9035525,3614210000.0,389.27,,0.011646837820914246,1.004976362279175
2016-05-30,404.8,423.6,401.3,423.0,421.25,15767133,6382535438.400001,390.366,,0.042956177271601836,1.0481463050510087
2016-05-31,456.0,464.9,445.0,455.6,459.65,110744326,50499412656.0,392.351,,0.09115727002967344,1.143692460811148
2016-06-01,455.75,458.3,445.0,446.8,449.2,10389215,4734884736.25,394.14399999999995,,-0.022734689437615585,1.1176909679024642
2016-06-02,444.1,460.5,444.1,453.0,453.45,13674434,6072816139.400001,395.995,,0.009461264470169262,1.1282657377457088
2016-06-03,458.05,461.8,452.5,452.55,453.95,11672544,5346608779.2,397.75299999999993,,0.0011026574043444537,1.1295098283155023
2016-06-06,457.8,465.0,450.2,462.55,460.5,9356808,4283546702.4,399.469,,0.014428901861438526,1.145807414779797
2016-06-07,466.45,466.45,459.0,463.2,463.05,12568902,5862764337.9,401.186,,0.005537459283387669,1.1521522766857437
2016-06-08,465.5,468.8,463.2,465.0,466.15,10467158,4872462049.0,402.969,,0.006694741388618919,1.1598656382184633
2016-06-09,469.45,470.25,465.0,467.0,467.15,8525017,4002069230.65,405.046,,0.0021452322213879604,1.1623538193580503
2016-06-10,466.75,466.75,454.5,457.4,456.95,7039858,3285853721.5,406.736,,-0.021834528524028674,1.1369743717342633
2016-06-13,451.0,451.4,436.7,444.55,444.25,9507282,4287784182.0,407.84899999999993,,-0.027792975161396227,1.1053744712615088
2016-06-14,446.9,453.85,441.15,448.7,448.4,9615226,4297044499.4,409.085,,0.009341586944288105,1.1157004229907947
2016-06-15,449.9,453.0,447.25,451.55,452.1,5704865,2566618763.5,410.53399999999993,,0.008251561106155325,1.1249066932072667
2016-06-16,449.7,455.5,446.05,453.9,454.35,7255454,3262777663.7999997,411.853,,0.00497677504976779,1.1305051007713374
2016-06-17,461.0,465.75,457.3,463.65,464.4,7836702,3612719622.0,413.731,,0.02211951138989754,1.1555113212241863
2016-06-20,464.75,484.2,460.25,482.6,482.05,9261350,4304212412.5,415.83799999999997,,0.03800602928509922,1.1994277183378965
2016-06-21,484.0,486.2,477.6,484.3,484.9,8907801,4311375684.0,418.032,,0.005912249766621747,1.2065190345857193
2016-06-22,483.05,484.8,468.05,472.0,472.7,7660165,3700242703.25,420.057,,-0.02515982676840578,1.1761632246827585
2016-06-23,476.1,489.9,476.1,487.75,487.95,9628216,4583993637.6,422.083,,0.03226147662365131,1.2141079870614597
2016-06-24,439.2,453.75,421.25,447.7,449.4,40998600,18006585120.0,423.155,,-0.07900399631109745,1.1181886041303821
2016-06-27,451.8,457.25,443.6,447.95,448.95,12450283,5625037859.400001,423.959,,-0.0010013351134846582,1.117068922617568
2016-06-28,448.0,448.0,433.0,441.0,440.4,10190394,4565296512.0,424.62,,-0.0190444370197127,1.0957949738740995
2016-06-29,447.1,449.8,445.4,447.0,447.25,6285461,2810229613.1,425.483,,0.015554041780199812,1.1128390146802702
2016-06-30,454.3,462.25,451.55,458.5,459.25,13214064,6003149275.2,426.43800000000005,,0.02683063163778643,1.1426971883553139
2016-07-01,463.6,464.75,454.7,459.1,457.9,7027759,3258069072.4,427.256,,-0.0029395753946652725,1.1393381438168715
2016-07-04,467.0,474.85,467.0,468.8,469.5,8413087,3928911629.0,428.402,,0.025333042148940832,1.1682010450360802
2016-07-05,468.5,469.0,459.5,460.5,460.9,4934087,2311619759.5,429.23900000000003,,-0.018317358892438795,1.1468026872356323
2016-07-07,460.95,465.45,454.1,455.5,455.15,6580663,3033356609.85,429.971,,-0.012475591234541117,1.1324956456830073
2016-07-08,464.3,468.2,462.65,466.3,466.3,9263727,4301148446.1,431.07,,0.02449741843348363,1.1602388653894022
2016-07-11,472.1,486.8,472.1,483.85,484.6,10477166,4946270068.6,432.595,,0.039245121166630925,1.2057725802438437
2016-07-12,486.0,488.65,481.1,485.0,484.3,6767972,3289234392.0,434.12699999999995,,-0.0006190672719769141,1.2050261259019677
2016-07-13,485.95,488.1,477.95,480.65,481.1,5855718,2845586162.1,435.556,,-0.006607474705760841,1.1970639462552894
2016-07-14,480.1,489.3,478.95,485.5,486.1,5983007,2872441660.7000003,437.642,,0.010392849719393027,1.2095048519532243
2016-07-15,480.0,501.7,479.65,494.05,494.0,8889558,4266987840.0,439.699,,0.016251800041143794,1.2291614829559614
2016-07-18,495.0,505.0,490.0,490.75,492.65,7463954,3694657230.0,441.57800000000003,,-0.002732793522267296,1.2258024384175188
2016-07-19,493.9,503.5,493.45,498.0,499.25,7665519,3785999834.1,443.496,,0.013396934943672001,1.242224433938793
2016-07-20,496.3,502.45,492.45,493.5,493.9,5697901,2827868266.3,445.595,,-0.010716074111166818,1.2289126648420026
2016-07-21,498.45,500.0,489.7,490.65,491.05,3658371,1823515024.95,447.81899999999996,,-0.005770398866167148,1.2218213485941798
2016-07-22,494.45,508.45,493.5,506.65,507.2,5588143,2763057306.35,450.222,,0.03288870787088882,1.2620054739985092
2016-07-25,505.5,510.95,503.35,508.55,509.0,4638151,2344585330.5,452.60299999999995,,0.0035488958990537167,1.2664842000497658
